Age,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Employment_Type_Business Owner,Employment_Type_Contract,Employment_Type_Professional,Employment_Type_Salaried,Employment_Type_Self-Employed,Loan_Purpose_Business,Loan_Purpose_Consumer Durable,Loan_Purpose_Education,Loan_Purpose_Home,Loan_Purpose_Home Renovation,Loan_Purpose_Medical,Loan_Purpose_Personal,Loan_Purpose_Vehicle
36,707400,1.8,1,1529000,24,0,0.0,0.0,95.0,216.14,44.03,0,0,0,2,10.2,5,100.0,661,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,526500,4.9,1,1020000,60,0,0.0,0.0,56.76,193.73,19.44,1,2,19,1,6.0,3,88.75,643,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,995800,7.3,4,956000,60,0,0.0,0.0,24.4,96.0,67.97,0,0,0,4,0.5,4,100.0,601,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,732000,6.9,3,1121000,48,0,0.0,0.0,48.6,153.14,49.96,0,1,7,4,3.3,4,92.31,630,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,978800,0.5,1,2704000,12,0,0.0,0.0,95.0,276.26,20.17,0,0,0,4,23.4,5,99.95,753,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
46,922400,4.5,1,2349000,48,2,306600.0,8120.0,95.0,254.66,11.93,1,2,35,3,29.3,6,86.08,746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34,423000,4.9,1,204000,60,1,191600.0,6970.0,32.42,48.23,23.24,0,0,0,1,13.8,5,99.09,724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
43,734100,3.8,5,1617000,36,0,0.0,0.0,93.29,220.27,20.67,0,2,27,3,17.2,3,94.5,739,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
37,544500,5.6,1,1352000,36,0,0.0,0.0,95.0,248.3,14.25,0,0,0,1,10.2,2,100.0,698,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
21,790400,5.4,1,363000,60,1,187000.0,3830.0,18.42,45.93,12.46,0,1,16,1,0.5,3,94.94,675,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,458700,0.9,1,232000,60,1,292700.0,11570.0,43.64,50.58,16.07,0,1,16,2,5.6,6,95.76,690,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,370000,0.5,0,956000,60,0,0.0,0.0,67.91,258.38,78.13,1,1,10,6,0.5,3,96.01,570,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,393400,11.7,2,992000,24,0,0.0,0.0,95.0,252.16,26.12,0,1,10,1,19.4,3,96.28,720,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,951900,5.9,1,1570000,60,1,248500.0,8800.0,54.32,164.93,24.98,0,0,0,2,25.3,6,99.63,770,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,897000,3.0,1,627000,36,1,118700.0,2150.0,33.19,69.9,38.3,0,0,0,0,13.0,3,100.0,713,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29,255000,3.6,0,250000,48,0,0.0,0.0,31.56,98.04,39.9,0,1,15,0,8.1,2,100.0,668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,543700,2.9,3,985000,60,0,0.0,0.0,54.04,181.17,73.11,0,1,11,1,16.2,3,98.05,645,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,437800,7.7,3,1069000,24,1,24500.0,820.0,95.0,244.18,41.48,0,0,0,7,6.8,6,100.0,645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,285600,0.7,1,683000,84,0,0.0,0.0,49.41,239.15,61.4,0,0,0,3,24.1,1,100.0,677,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,506300,7.9,2,623000,48,0,0.0,0.0,38.66,123.05,13.08,0,0,0,2,0.5,3,99.14,680,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,254300,4.5,0,485000,60,2,434200.0,13800.0,95.0,190.72,11.85,0,0,0,3,0.5,5,97.3,655,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,211500,9.4,2,266000,60,1,482300.0,14940.0,95.0,125.77,22.99,0,1,6,1,11.9,3,93.34,646,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
