Application_ID,Age,Gender,City,Employment_Type,Annual_Income,Employment_Duration_Years,Number_of_Dependents,Loan_Purpose,Loan_Amount,Loan_Tenure_Months,Existing_Loans_Count,Total_Outstanding_Debt,Existing_Monthly_EMI,Debt_to_Income_Ratio,Loan_to_Income_Ratio,Credit_Utilization,Previous_Defaults,Missed_Payments,Maximum_Days_Past_Due,Recent_Credit_Enquiries,Credit_History_Length,Number_of_Credit_Accounts,Payment_History,Credit_Score,Risk_Grade,Decision
3000001,21,Female,Jaipur,Business Owner,631600,8.0,3,Home Renovation,263000,48,0,0.0,0.0,14.29,41.64,23.16,1,2,23,3,0.5,2,86.16,637,E,Reject
3000002,29,Male,Ahmedabad,Business Owner,644100,10.9,3,Medical,651000,48,1,112300.0,3650.0,42.12,101.07,27.53,0,0,0,1,7.7,3,100.0,698,D,Approve
3000003,28,Female,Nashik,Salaried,1018600,9.5,1,Personal,913000,36,0,0.0,0.0,37.29,89.63,31.55,0,0,0,3,2.3,3,100.0,677,D,Approve
3000004,30,Female,Nashik,Contract,901600,8.1,3,Medical,856000,48,2,739800.0,16400.0,55.2,94.94,18.79,0,0,0,0,4.3,4,99.66,699,D,Reject
3000005,39,Male,Thane,Salaried,1270100,6.3,0,Personal,463000,36,0,0.0,0.0,15.53,36.45,40.82,0,0,0,4,15.5,6,100.0,711,C,Approve
3000006,41,Female,Chennai,Salaried,739600,7.7,0,Consumer Durable,2009000,24,1,72600.0,1570.0,95.0,271.63,22.2,0,0,0,8,16.3,4,100.0,701,C,Reject
3000007,27,Female,Noida,Contract,716000,5.6,2,Personal,480000,24,0,0.0,0.0,37.88,67.04,29.01,0,1,12,1,1.4,3,93.52,656,D,Approve
3000008,29,Female,Nagpur,Salaried,180000,8.6,1,Home,492000,60,0,0.0,0.0,69.4,273.33,8.31,0,0,0,3,7.0,2,99.32,687,D,Reject
3000009,45,Male,Jaipur,Self-Employed,533100,3.7,2,Home,1228000,48,0,0.0,0.0,74.94,230.35,39.69,0,1,14,1,25.0,2,97.05,756,B,Reject
3000010,50,Male,Indore,Salaried,1054300,8.5,0,Vehicle,526000,48,1,735000.0,28500.0,47.47,49.89,36.94,1,0,0,0,35.0,6,92.38,744,C,Approve
3000011,47,Male,Jaipur,Salaried,432400,8.6,1,Business,1087000,72,1,396000.0,7500.0,86.71,251.39,15.07,0,0,0,1,16.5,6,98.0,743,C,Approve
3000012,22,Female,Indore,Salaried,799400,6.6,0,Home,1726000,24,4,1732700.0,44610.0,95.0,215.91,47.4,0,0,0,3,0.5,7,98.04,658,D,Reject
3000013,46,Female,Bhopal,Salaried,570400,13.9,2,Personal,1363000,60,3,1018300.0,35850.0,95.0,238.96,56.41,0,1,6,4,23.1,6,98.82,724,C,Reject
3000014,52,Female,Gurugram,Business Owner,517500,3.8,2,Home,353000,48,1,89800.0,3760.0,29.96,68.21,41.05,0,0,0,3,31.7,4,99.75,755,B,Approve
3000015,22,Male,Mumbai,Self-Employed,306100,10.2,1,Personal,343000,72,1,147900.0,5450.0,49.03,112.05,60.87,0,0,0,0,0.5,4,97.15,616,E,Reject
3000016,45,Male,Noida,Salaried,302300,3.5,3,Personal,330000,36,0,0.0,0.0,46.6,109.16,14.73,1,2,21,1,20.5,4,84.54,697,D,Approve
3000017,38,Male,Gurugram,Salaried,356600,6.7,2,Vehicle,546000,48,2,349100.0,9970.0,80.58,153.11,10.01,0,0,0,1,16.2,6,100.0,726,C,Approve
3000018,33,Male,Nagpur,Contract,1021400,5.0,2,Consumer Durable,384000,36,0,0.0,0.0,14.93,37.6,40.77,0,2,22,0,8.1,4,95.44,701,C,Approve
3000019,37,Female,Pune,Salaried,1254900,10.6,1,Home,1654000,24,1,39300.0,1150.0,75.37,131.8,30.61,0,0,0,8,8.1,4,100.0,684,D,Reject
3000020,40,Female,Mumbai,Salaried,595600,6.4,2,Personal,695000,84,1,452800.0,9950.0,44.04,116.69,43.69,0,0,0,2,7.9,2,99.71,672,D,Approve
3000021,46,Female,Ahmedabad,Professional,1131900,2.4,3,Vehicle,1676000,36,2,173400.0,4170.0,67.05,148.07,58.4,0,0,0,1,24.3,6,98.12,731,C,Reject
3000022,45,Male,Jaipur,Self-Employed,959800,6.8,1,Education,2344000,60,1,322100.0,8570.0,78.62,244.22,11.76,0,0,0,6,19.8,2,96.58,736,C,Reject
3000023,23,Female,Mumbai,Salaried,984800,2.0,3,Consumer Durable,1642000,48,1,38800.0,880.0,52.16,166.73,5.5,0,1,12,2,4.3,4,98.54,683,D,Approve
3000024,30,Female,Nagpur,Self-Employed,425500,6.4,0,Personal,1052000,60,0,0.0,0.0,74.39,247.24,35.09,0,1,11,4,7.0,4,98.89,656,D,Reject
3000025,37,Female,Delhi,Salaried,609600,6.2,3,Personal,226000,60,0,0.0,0.0,9.31,37.07,30.2,1,0,0,0,15.7,2,95.82,706,C,Approve
3000026,49,Male,Aurangabad,Salaried,528300,0.5,3,Personal,371000,72,2,758300.0,16540.0,55.69,70.23,34.23,0,0,0,2,24.2,4,100.0,735,C,Approve
3000027,21,Male,Chennai,Salaried,934600,10.8,1,Personal,2213000,12,0,0.0,0.0,95.0,236.79,46.02,0,0,0,3,0.5,4,98.32,604,E,Reject
3000028,31,Male,Aurangabad,Salaried,352600,6.2,2,Personal,948000,24,0,0.0,0.0,95.0,268.86,24.19,0,1,16,1,14.0,4,99.4,687,D,Reject
3000029,23,Male,Chennai,Salaried,610700,9.5,1,Personal,323000,84,3,725300.0,25510.0,62.12,52.89,4.36,0,0,0,2,0.5,7,97.12,693,D,Reject
3000030,24,Female,Thane,Salaried,314800,9.9,2,Home,325000,48,1,68000.0,2080.0,41.83,103.24,27.03,0,0,0,4,0.5,4,99.09,618,E,Reject
3000031,44,Female,Mumbai,Contract,805000,5.7,0,Business,1190000,60,3,632400.0,19460.0,66.02,147.83,9.12,1,0,0,1,21.0,4,95.88,725,C,Approve
3000032,31,Female,Thane,Salaried,380900,3.3,1,Business,881000,48,1,159900.0,4150.0,89.21,231.29,35.76,0,0,0,1,5.9,2,100.0,679,D,Reject
3000033,21,Male,Gurugram,Salaried,362100,8.3,1,Education,117000,48,2,249900.0,8780.0,39.32,32.31,49.66,0,0,0,1,0.5,6,99.49,637,E,Approve
3000034,35,Male,Aurangabad,Salaried,212700,3.4,0,Personal,190000,36,0,0.0,0.0,38.23,89.33,1.0,0,0,0,1,7.9,4,99.03,733,C,Approve
3000035,53,Male,Aurangabad,Self-Employed,1611400,3.5,1,Home,2213000,72,0,0.0,0.0,33.02,137.33,57.92,0,1,17,2,29.1,2,99.57,756,B,Approve
3000036,21,Male,Nashik,Salaried,633500,10.2,0,Vehicle,1167000,84,1,320100.0,11310.0,59.53,184.21,11.53,1,1,9,3,0.5,3,86.47,649,E,Reject
3000037,41,Male,Mumbai,Self-Employed,777100,4.4,2,Home Renovation,1780000,60,1,308200.0,10130.0,78.43,229.06,24.29,0,0,0,1,15.8,4,100.0,757,B,Reject
3000038,49,Male,Ahmedabad,Salaried,378100,4.8,3,Personal,176000,48,0,0.0,0.0,15.15,46.55,18.08,0,1,10,1,21.6,2,96.15,732,C,Approve
3000039,36,Male,Pune,Salaried,783800,8.6,2,Personal,1052000,24,0,0.0,0.0,79.09,134.22,41.83,0,0,0,0,10.8,1,100.0,687,D,Reject
3000040,52,Female,Bhopal,Salaried,493500,4.7,1,Home Renovation,1269000,84,0,0.0,0.0,56.23,257.14,17.96,0,1,7,1,34.0,2,96.95,781,B,Approve
3000041,30,Male,Bhopal,Salaried,378100,2.5,2,Home,276000,36,3,632800.0,16570.0,81.19,73.0,50.18,0,1,8,2,8.1,6,95.22,669,D,Reject
3000042,48,Female,Nashik,Salaried,592500,5.3,4,Home,1051000,60,0,0.0,0.0,47.5,177.38,66.25,0,0,0,2,24.6,1,99.29,716,C,Reject
3000043,46,Female,Gurugram,Salaried,447800,7.0,1,Vehicle,1198000,36,0,0.0,0.0,95.0,267.53,8.73,0,0,0,6,18.7,6,99.16,751,B,Reject
3000044,36,Male,Delhi,Self-Employed,614500,4.3,2,Home,1568000,72,1,680300.0,19360.0,95.0,255.17,15.81,0,0,0,7,11.1,4,100.0,705,C,Reject
3000045,23,Female,Jaipur,Self-Employed,183200,5.9,2,Personal,223000,36,3,1779900.0,46570.0,95.0,121.72,63.54,0,0,0,1,0.5,6,96.57,597,E,Reject
3000046,27,Female,Hyderabad,Salaried,1040800,4.8,1,Personal,807000,72,0,0.0,0.0,17.73,77.54,39.43,0,1,8,2,2.7,5,99.31,645,E,Approve
3000047,21,Male,Mumbai,Professional,797900,2.5,1,Education,1769000,84,0,0.0,0.0,47.26,221.71,48.53,0,0,0,3,0.5,4,100.0,614,E,Reject
